CDK2	10:300403-305938
OR4K14	10:16283838-16285770
CFAP36	10:56373496-56403620
HNRNPH1	11:2050371-2060499
MTRNR2L7	11:67478924-67479995
OR2T11	14:2694811-2696773
HOXA9	14:40337499-40340423
HTR5A	16:18142330-18152942
VANGL1	17:53173627-53221265
OR4C3	18:41248487-41250395
CFL1	18:51401159-51408712
AHNAK	18:54100442-54113924
DOK6	1:8453214-8707673
ONECUT2	1:18439672-18486548
KLK4	1:105951191-106008081
MITF	20:21612427-21871078
RAB6A	21:24491859-24577024
OR51F23	21:27088639-27090568
OR52A5	21:27986733-27988683
ZNF341	24:22937593-22982867
TWIST2	25:49165141-49166623
DUSP18	26:23734785-23736248
IQSEC3	27:42148456-42257290
WNK1	27:42764681-42913306
MKI67	28:36912523-36939986
HSPG2	2:77301358-77368224
OR4Q2	30:628620-630619
SQOR	30:11955866-12005265
CASP6	32:29897323-29911969
OR5K5	33:5299833-5301762
NFKBIZ	33:8073340-8155061
WDR12	37:11762277-11787433
LINS1	3:40414663-40437466
TCOF1	4:58698569-58739181
ZCCHC14	5:65610526-65665423
FOXC2	5:66293676-66296193
LHX4	7:13779274-13821817
TMEM92	9:26255760-26261556
SETX	9:51900733-51979333
OR1L8	9:60117539-60119468
